No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
11,受注計上日,受注計上日,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba001g,dd_jucyuke,tbba001g.dd_jucyuke IS NOT NULL の受注データを対象に、CAST(tbba001g.dd_jucyuke AS DATE) により日付化して取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,受注を計上した日付。JOIN条件でdd_jucyuke IS NOT NULLを指定しているため、SQL意図上はNULLなしとして整理。
12,グレード,グレード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0229m / ai21rep_ve_dx.tbba001g,"mj_guredo, no_siteruib",tbba001g.no_siteruibをキーにtbv0229mをLEFT JOINし、tbv0229m.mj_guredo を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,新車受注車両のグレード。LEFT JOINのため、グレードマスタに一致しない場合はNULLになる可能性がある。
13,品名カナ,品名カナ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbbf007m / ai21rep_ve_dx.tbbf008m,"kn_hinmei, mj_syamei, kb_spec, cd_spec, no_hinmei",tbbf008mの車名・仕様・品名番号をキーにtbbf007mをLEFT JOINし、tbbf007m.kn_hinmei を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,車両仕様に紐づく品名カナ。LEFT JOINのため、品名マスタに一致しない場合はNULLになる可能性がある。
14,法人個人区分,法人個人区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba051g,kb_seibetu,tbba051g.kb_kokyaku='2'の顧客属性をLEFT JOINし、kb_seibetu='1'を'男'、'2'を'女'、'3'を'法人'へ変換。それ以外はNULL,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,顧客の法人・個人および性別区分。該当しないコードまたはJOIN不一致の場合はNULLになる。
15,年齢別,年齢別,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba051g,nu_nenrei,tbba051g.nu_nenreiを年代別に分類。60以上は'60歳以上'、50以上は'50歳代'、40以上は'40歳代'、30以上は'30歳代'、それ以外は'29歳以下'を設定,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,年齢を年代区分に変換した項目。SQL上はELSEで'29歳以下'が設定されるためNULLなしとして整理。ただしnu_nenreiがNULLの場合も'29歳以下'に分類される可能性がある。
16,商談動機,商談動機,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba056g / ai21rep_ve_dx.tbbg068m,"mj_jucyuke1, cd_kotaem1～cd_kotaem20",WITH句tbbg068mでcd_kotaem1～cd_kotaem20をsearchKey='01'～'20'の縦持ちに変換。tbba056g.mj_jucyuke1をsearchKeyとして問題コード'101'の回答値 tbbg068m_1.cd_kotaem を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,商談動機を示す回答値。回答マスタに一致しない場合はNULLになる。
17,購入形態,購入形態,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba056g / ai21rep_ve_dx.tbbg068m / ai21rep_ve_dx.tbbf001m,"mj_jucyuk11, mj_jucyuke4, cd_kotaem1～cd_kotaem20, kb_syasikib",WITH句tbbg068mでcd_kotaem1～cd_kotaem20をsearchKey='01'～'20'の縦持ちに変換。tbbf001m.kb_syasikib='6'の場合はtbba056g.mj_jucyuk11をsearchKeyとして問題コード'111'の回答値を取得し、それ以外はtbba056g.mj_jucyuke4をsearchKeyとして問題コード'104'の回答値を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,購入形態を示す回答値。回答マスタに一致しない場合はNULLになる。
18,下取有無,下取有無,STRING,無,なし,なし,なし,ai21rep_ve_dx.tbba003g / ai21rep_ve_dx.tbba001g,"kb_sincyu, sitasu, no_cyumon, no_cyumoned","tbba003gをkb_sincyu='1'で絞り込み、注文単位でCOUNT(1) AS sitasuを集計。tbba001gにLEFT JOIN後、IF(NVL(tbba003g_group.sitasu,0)=0,'無','有') により下取有無を設定",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,下取データが1件以上あれば'有'、なければ'無'を設定する項目。NVLとIFによりNULLなしとして整理。
19,メーカー区分,メーカー区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0232m / ai21rep_ve_dx.tbba003g,"cd_maker, cd_syamei, cd_sitadosy","tbba003g_group.cd_sitadosyをキーにtbv0232mをLEFT JOINし、tbv0232m.cd_maker='01'かつLEFT(tbv0232m.cd_syamei,1)<>'L'の場合は'トヨタ'、tbv0232m.cd_syameiがNULLでない場合は'他メーカー'、それ以外はNULLを設定",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,下取車のメーカー区分。下取車名コードが取得できない場合はNULLになる可能性がある。
20,下取車名,下取車名,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0232m / ai21rep_ve_dx.tbba003g,"kj_syamei, cd_sitadosy",tbba003g_group.cd_sitadosyをキーにtbv0232mをLEFT JOINし、tbv0232m.kj_syamei を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,下取車の車名。下取がない場合や車名マスタに一致しない場合はNULLになる可能性がある。
21,車種分類,車種分類,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0232m / ai21rep_ve_dx.tbba003g,"mj_sysyubur, cd_sitadosy",tbba003g_group.cd_sitadosyをキーにtbv0232mをLEFT JOINし、tbv0232m.mj_sysyubur を取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,下取車の車種分類。下取がない場合や車名マスタに一致しない場合はNULLになる可能性がある。
22,下取車年式,下取車年式,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba003g,su_syndotor,tbba003g_group.su_syndotorの先頭4桁を年式として使用。現在年から見て9年以上前は和暦の範囲表記（Hxx～またはRxx～）に変換し、2019年以降はRxx、1989年以降はHxxへ変換。それ以外はNULL,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,下取車の年式を和暦表示に変換した項目。年式がNULL、不正、または条件外の場合はNULLになる可能性がある。
23,下取車メーカー,下取車メーカー,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0232m / ai21rep_ve_dx.tbba003g,"cd_maker, cd_syamei, kj_syamei",tbv0232m.cd_maker='01'かつ車名コード先頭が'L'でない場合は、車名先頭文字列からクラウン、プリウス、カローラ、シエンタ、アイシス・ガイア、エスティマ、ハリアー、その他 トヨタ車へ分類。それ以外でtbv0232m.cd_hansyaがNULLでない場合は、ホンダ系、レクサス、スバル系、ニッサン系、輸入車、その他メーカーへ分類。それ以外はNULL,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,下取車を分析・表示用カテゴリに分類した項目。下取情報がない場合や車名情報が取得できない場合はNULLになる可能性がある。
